genres;homepage;keywords;original_title;runtime
Adventure Action Thriller Science Fiction;http://www.gijoemovie.com/;terrorist secret hostage technology warhead;G.I. Joe: The Rise of Cobra;118.0
Drama Comedy Animation Family;http://movies.disney.com/inside-out;dream cartoon imaginary friend animation family;Inside Out;94.0
Family Adventure Drama Fantasy;http://movies.disney.com/the-jungle-book-2016;based on novel snake wolf elephant tiger;The Jungle Book;106.0
Adventure Action Science Fiction;http://www.ironmanmovie.com/;malibu marvel comic superhero based on comic book revenge;Iron Man 2;124.0
Adventure Fantasy Drama;http://www.snowwhiteandthehuntsman.com/;queen magic fairy tale immortality forest;Snow White and the Huntsman;127.0
Fantasy Adventure Action Family Romance;http://movies.disney.com/maleficent;fairy tale villain sleeping beauty dark fantasy based on fairy tale;Maleficent;97.0
Science Fiction Action Drama Thriller;http://www.dawnofapes.com/;leader colony post-apocalyptic dystopia forest;Dawn of the Planet of the Apes;130.0
Drama Action Adventure Fantasy;not find;japan suicide samurai based on true story samurai sword;47 Ronin;119.0
Action Adventure Science Fiction;http://www.captainamericathewintersoldiermovie.com;washington d.c. future shield marvel comic superhero;Captain America: The Winter Soldier;136.0
Comedy Adventure Fantasy Animation Family;http://www.shrekforeverafter.com/;ogre 3d;Shrek Forever After;93.0
Adventure Family Mystery Science Fiction;http://movies.disney.com/tomorrowland;inventor apocalypse destiny imax dreamer;Tomorrowland;130.0
Adventure Family Animation Action Comedy;http://movies.disney.com/big-hero-6;brother brother relationship hero talent revenge best friend;Big Hero 6;102.0
Family Animation Comedy Adventure;http://disney.go.com/wreck-it-ralph;support group product placement bullying racing arcade;Wreck-It Ralph;108.0
Adventure Animation Family Fantasy;not find;santa claus nerd faith gift bell;The Polar Express;100.0
Action Adventure Science Fiction;http://www.warof1996.com;alternate history alien invasion;Independence Day: Resurgence;120.0
Fantasy Adventure Animation Family;http://www.howtotrainyourdragon.com/;flying blacksmith arena island night;How to Train Your Dragon;98.0
Action Thriller Science Fiction;not find;saving the world artificial intelligence man vs machine cyborg killer robot;Terminator 3: Rise of the Machines;109.0
Action Science Fiction Adventure;http://marvel.com/guardians;marvel comic spaceship space outer space orphan;Guardians of the Galaxy;121.0
Adventure Drama Science Fiction;http://www.interstellarmovie.net/;saving the world artificial intelligence father son relationship single parent nasa;Interstellar;169.0
Action Thriller Science Fiction Mystery Adventure;http://inceptionmovie.warnerbros.com/;loss of lover dream kidnapping sleep subconsciousness;Inception;148.0
Adventure Fantasy Action;http://www.thehobbit.com/;riddle elves dwarves orcs middle-earth (tolkien);The Hobbit: An Unexpected Journey;169.0
Action Crime Thriller;not find;street gang car race undercover auto-tuning los angeles;The Fast and the Furious;106.0
Fantasy Drama Thriller Mystery Romance;http://www.benjaminbutton.com/;diary navy funeral tea travel;The Curious Case of Benjamin Button;166.0
Action Science Fiction Adventure;http://www.x-menfirstclassmovie.com/;cia mutant mine marvel comic superhero;X-Men: First Class;132.0
Action Adventure Science Fiction;http://www.thehungergames.movie/;revolution strong woman dystopia game of death 3d;The Hunger Games: Mockingjay - Part 2;137.0
Fantasy Adventure Action Comedy Drama;http://disney.go.com/disneypictures/sorcerersapprentice/;witch fire wolf fountain magic;The Sorcerer's Apprentice;109.0
Adventure Action Drama Thriller;http://www2.warnerbros.com/poseidon/;new year's eve fire drowning cataclysm loss of father;Poseidon;99.0
Fantasy;http://movies.disney.com/alice-through-the-looking-glass;based on novel clock queen sequel alice in wonderland;Alice Through the Looking Glass;113.0
Action Adventure Fantasy;http://www.warcraft-themovie.com/;video game elves orcs magic chase;Warcraft;123.0
Adventure Family Fantasy;not find;based on novel magic good vs evil king narnia;The Chronicles of Narnia: The Voyage of the Dawn Treader;113.0
History Romance War;not find;nurse patriotism hawaii world war ii pilot;Pearl Harbor;183.0
Adventure Science Fiction Action;http://www.transformersmovie.com/;destroy transformation alien based on toy transformers;Transformers;144.0
War History Action Adventure Drama;not find;aristotle egypt greece persia elephant;Alexander;175.0
Adventure Fantasy Family Mystery;http://www.harrypotterorderofthephoenix.com/;prophecy witch loss of lover magic cutting the cord;Harry Potter and the Order of the Phoenix;138.0
Adventure Fantasy Family;http://harrypotter.warnerbros.com/;magic dying and death broom sorcerer's apprentice school of witchcraft;Harry Potter and the Goblet of Fire;157.0
Fantasy Action;http://www.sonypictures.com/movies/hancock/;flying alcohol love of one's life forbidden love lovers;Hancock;92.0
Drama Horror Action Thriller Science Fiction;http://iamlegend.warnerbros.com/;saving the world lost civilisation post-apocalyptic dystopia matter of life and death;I Am Legend;101.0
Adventure Comedy Family Fantasy;https://www.warnerbros.com/charlie-and-chocolate-factory;london england father son relationship chocolate factory worker based on novel;Charlie and the Chocolate Factory;115.0
Animation Comedy Family Fantasy;http://disney.go.com/disneypictures/ratatouille/;paris brother brother relationship expensive restaurant river cook;Ratatouille;111.0
Action Crime Drama;http://www2.warnerbros.com/batmanbegins/index.html;himalaya martial arts dc comics crime fighter secret identity;Batman Begins;140.0
Family Animation;http://www.madagascar-themovie.com;africa jealousy dance hunger lion;Madagascar: Escape 2 Africa;89.0
Adventure Fantasy Action Comedy Family;http://www.nightatthemuseummovie.com;museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian;Night at the Museum: Battle of the Smithsonian;105.0
Adventure Action Thriller Science Fiction;http://www.x-menorigins.com/;corruption mutant boxer army marvel comic;X-Men Origins: Wolverine;107.0
Adventure Action Thriller Science Fiction;not find;saving the world artificial intelligence man vs machine flying philosophy;The Matrix Revolutions;129.0
Animation Adventure Family;http://movies.disney.com/frozen;queen musical princess betrayal snowman;Frozen;102.0
Adventure Action Thriller Science Fiction;not find;saving the world artificial intelligence man vs machine martial arts kung fu;The Matrix Reloaded;138.0
Action Adventure Fantasy;http://marvel.com/thor;marvel comic superhero based on comic book hostile takeover norse mythology;Thor: The Dark World;112.0
Action Adventure Science Fiction Thriller;http://www.madmaxmovie.com/;future chase post-apocalyptic dystopia australia;Mad Max: Fury Road;120.0
Thriller Mystery;http://www.angelsanddemons.com/;rome vatican based on novel symbolism christian;Angels & Demons;138.0
Adventure Fantasy Action;http://thor.marvel.com/;new mexico banishment shield marvel comic hammer;Thor;115.0
Animation Family Adventure Comedy;http://movies.disney.com/bolt;hamster kids and family animal cat vs dog duringcreditsstinger;Bolt;98.0
Fantasy Action Adventure Family Comedy;http://disney.go.com/disneypictures/gforce/;dyr duringcreditsstinger;G-Force;88.0
Adventure;http://www.wrathofthetitansmovie.org;underworld hades mythology greek mythology zeus;Wrath of the Titans;99.0
Comedy Fantasy;http://darkshadowsmovie.warnerbros.com;witch imprisonment vampire curse fish out of water;Dark Shadows;113.0
Action Adventure Thriller;http://www.missionimpossible.com;london england spy austria villain sequel;Mission: Impossible - Rogue Nation;131.0
Drama Horror Thriller;http://www.thewolfmanmovie.com/;father son relationship victorian england remake rural setting werewolf;The Wolfman;102.0
Family Animation Adventure Comedy;http://www.beemovie.com/;factory worker tennis flower florist flower shop;Bee Movie;91.0
Action Adventure Family Fantasy;http://www.thelastairbendermovie.com/;fire ice war ship prince kingdom;The Last Airbender;103.0
Adventure Action Thriller;http://www.missionimpossible.com/;berlin cia vatican white house secret identity;Mission: Impossible III;126.0
Action Drama Thriller;not find;usa president conspiracy secret service the white house;White House Down;131.0
Adventure Animation Family;http://disney.go.com/disneypictures/marsneedsmoms/#home;boy alien rescue martian alien abduction;Mars Needs Moms;88.0
Adventure Animation Comedy Family;http://www.dreamworksanimation.com/flushed/;london england underworld return ship frog;Flushed Away;85.0
Adventure Family Fantasy;not find;flying magic fairy tale peter pan mermaid;Pan;111.0
Animation Adventure Family;not find;father son relationship egypt intelligence adoption time travel;Mr. Peabody & Sherman;92.0
Adventure Drama War;not find;brother brother relationship adultery mythology beauty trojan war;Troy;163.0
Animation Family;not find;madagascar 3d;Madagascar 3: Europe's Most Wanted;93.0
Adventure Action Thriller;http://www.mgm.com/view/movie/232/Die-Another-Day/;laser british secret service secret service agent space based weapon;Die Another Day;133.0
Action Fantasy Comedy;http://www.ghostbusters.com/;female friendship ghost hunting reboot ghost;Ghostbusters;116.0
Action Thriller Science Fiction Adventure;not find;saving the world paris moon cataclysm asteroid;Armageddon;151.0
Action Adventure Comedy Science Fiction;http://www.sonypictures.com/homevideo/meninblackii/;saving the world secret identity sun glasses undercover space marine;Men in Black II;88.0
Adventure Action Animation;http://www.beowulfmovie.com/;denmark nordic mythology lie pride and vanity folk hero;Beowulf;115.0
Action Adventure Animation Comedy Family;http://www.kungfupanda.com/;china martial arts kung fu village panda;Kung Fu Panda 3;95.0
Action Thriller Adventure;http://www.missionimpossible.com/;fight sequel mission explosion broken arm;Mission: Impossible - Ghost Protocol;133.0
Fantasy Animation Family;http://www.riseoftheguardians.com/;dream santa claus nightmare easter bunny tooth fairy;Rise of the Guardians;97.0
Comedy;http://www.sonypictures.com/movies/funwithdickandjane/;based on novel desperation robber hold-up robbery remake;Fun with Dick and Jane;90.0
Drama Action War History;not find;japan war crimes sense of guilt swordplay general;The Last Samurai;154.0
Adventure Drama Action;http://www.exodusgodsandkings.com/;moses bible ancient egypt 3d ramses;Exodus: Gods and Kings;150.0
Science Fiction Action Adventure;not find;spacecraft teleportation space mission parachute time travel;Star Trek;127.0
Fantasy Action;http://www.sonypictures.com/movies/spider-man/;loss of lover spider thanksgiving bad boss hostility;Spider-Man;121.0
Fantasy Action Adventure Animation Comedy;http://www.howtotrainyourdragon.com/;father son relationship wife husband relationship sacrifice viking sequel;How to Train Your Dragon 2;102.0
Fantasy;not find;egypt underworld fight mythology nile;Gods of Egypt;127.0
Action;not find;artificial intelligence u.s. navy aftercreditsstinger;Stealth;121.0
Action Mystery Science Fiction;https://www.warnerbros.com/watchmen;dc comics secret identity mass murder retirement based on comic book;Watchmen;163.0
Action Adventure Comedy Crime Thriller;not find;lapd house on fire revolver;Lethal Weapon 4;127.0
Drama Action Science Fiction;not find;california san francisco monster general gun;Hulk;138.0
Action Adventure Comedy Drama Mystery;not find;tyrant ironclad ship;Sahara;124.0
Adventure Action Animation Fantasy Science Fiction;not find;battle assignment dystopia alien downfall scientist;Final Fantasy: The Spirits Within;106.0
Action Adventure Science Fiction;http://captainamerica.marvel.com/;new york usa world war ii nazis marvel comic;Captain America: The First Avenger;124.0
Adventure Action Thriller;http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/;british mission oil heiress bilbao spain;The World Is Not Enough;128.0
Adventure;http://www.masterandcommanderthefarsideoftheworld.com/;naturalist frigate self surgery sea battle weevil;Master and Commander: The Far Side of the World;138.0
Adventure Fantasy Drama Romance;not find;vampire romance villainess super strength imprinting;The Twilight Saga: Breaking Dawn - Part 2;115.0
Animation Comedy Family;http://happyfeettwo.warnerbros.com/index.html;penguin musical aftercreditsstinger 3d;Happy Feet Two;100.0
Science Fiction Action Adventure;not find;new york rio de janeiro marvel comic superhero based on comic book;The Incredible Hulk;114.0
Adventure Family Fantasy;http://movies.disney.com/the-bfg;london england england based on novel queen little girl;The BFG;120.0
Western Drama Adventure Thriller;http://www.foxmovies.com/movies/the-revenant;father son relationship rape based on novel mountains winter;The Revenant;156.0
Animation Family;http://www.turbomovie.com/;underdog car race dream speed power;Turbo;96.0
Animation Comedy Family Western Adventure;http://www.rangomovie.com/;sheriff nevada pet rango chameleon;Rango;107.0
Family Animation Adventure Comedy;not find;penguin madagascar 3d;Penguins of Madagascar;92.0
Action Drama Mystery Thriller;http://www.universalstudiosentertainment.com/the-bourne-ultimatum/;paris corruption madrid assassin based on novel;The Bourne Ultimatum;115.0
Adventure Animation Family Comedy;http://www.kungfupanda.com/;china martial arts kung fu mentor snake;Kung Fu Panda;90.0
Science Fiction Action Adventure;http://marvel.com/movies/movie/180/ant-man;marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger;Ant-Man;117.0
Adventure Action Science Fiction;http://www.thehungergames.movie/;competition based on novel mentor secret factory;The Hunger Games: Catching Fire;146.0
Fantasy Comedy Animation Science Fiction Family;http://www.meettheboov.com/;friendship spaceship space alien alien invasion;Home;94.0
Adventure Thriller Science Fiction;not find;post traumatic stress  disorder new jersey airplane dystopia daughter;War of the Worlds;116.0
Adventure Action Comedy Thriller Crime;not find;miami ku klux klan cuba undercover mexican standoff;Bad Boys II;147.0
Action Adventure Animation Family Fantasy;not find;adventure fairy-tale figure;Puss in Boots;90.0
Action Mystery Thriller;http://www.sonypictures.com/homevideo/salt/;assassination spy cia kidnapping cold war;Salt;100.0
Drama Adventure;http://www.noahmovie.com;bible god noah 3d;Noah;139.0
Adventure Fantasy Family;not find;flying traitor magic cutting the cord child hero;Harry Potter and the Prisoner of Azkaban;141.0
Drama;not find;missionary world war ii ranch australia british;Australia;165.0
Science Fiction Action Adventure;not find;dystopia;After Earth;100.0
Animation Family;not find;cataclysm asteroid leader comet animation;Dinosaur;82.0
Adventure Comedy Fantasy Family;not find;night watchman museum natural history history smithsonian;Night at the Museum: Secret of the Tomb;97.0
Animation Action Comedy Family Science Fiction;http://www.megamind.com;saving the world date prison secret identity fish;Megamind;95.0
Adventure Fantasy Family;http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html;witch christmas party magic cutting the cord halloween;Harry Potter and the Philosopher's Stone;152.0
Fantasy Action Comedy Crime;http://www.ripd.com/;gold police operation partner revenge undead;R.I.P.D.;96.0
Adventure Fantasy Action;http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html;exotic island blacksmith east india trading company gold marriage proposal;Pirates of the Caribbean: The Curse of the Black Pearl;143.0
Science Fiction Adventure Thriller;http://www.thehungergames.movie/;resistance post-apocalyptic dystopia war sequel;The Hunger Games: Mockingjay - Part 1;123.0
Thriller Mystery;http://www.sonypictures.com/homevideo/thedavincicode/index.html;paris holy grail christianity monk based on novel;The Da Vinci Code;149.0
Animation Adventure Comedy Family;http://www.riomovies.com/;bird sequel jungle audition amazon rainforest;Rio 2;102.0
Adventure Action Science Fiction Thriller;not find;mutant marvel comic superhero based on comic book superhuman;X2;133.0
Action Thriller Crime;http://www.watchvideoseries.com/movies/fast-five-2011-2/;brazil fbi freedom escape from prison car crash;Fast Five;130.0
Adventure Action Crime Mystery;http://sherlockholmes2.warnerbros.com/index.html;detective inspector steampunk criminal mastermind;Sherlock Holmes: A Game of Shadows;129.0
Adventure Fantasy Action;http://www.clash-of-the-titans.com/;hades mythology greek mythology zeus medusa;Clash of the Titans;106.0
Action Adventure Science Fiction;not find;oxygen falsely accused resistance mars double life;Total Recall;113.0
Adventure Fantasy Action;not find;witch cave arabian scandinavia bagdad;The 13th Warrior;102.0
Action Thriller;http://www.thebournelegacy.com/;assassin wolf maryland suicide by gunshot rooftop;The Bourne Legacy;120.0
Action Crime Fantasy;not find;double life dc comics dual identity crime fighter fictional place;Batman & Robin;125.0
Family Comedy Fantasy;http://www.grinched.com/;holiday christmas party new love santa claus village;How the Grinch Stole Christmas;104.0
Action Adventure Science Fiction Thriller;http://www.thedayaftertomorrow.com/;saving the world library cataclysm climate change greenhouse effect;The Day After Tomorrow;124.0
Adventure Action Thriller;http://www.missionimpossible.com/;terror spain cia helicopter secret identity;Mission: Impossible II;123.0
Drama;not find;u.s. air force grocery jamaican meteorologist rescue boat;The Perfect Storm;130.0
Adventure Fantasy Action Thriller;not find;fire helicopter surfboard mask satellite;4: Rise of the Silver Surfer;92.0
Adventure Drama Action;http://www.lifeofpimovie.com/;ocean shipwreck hindu tiger faith;Life of Pi;127.0
Thriller Action Fantasy Horror;http://www.sonypictures.com/movies/ghostrider/;mephisto religion and supernatural dying and death devil's son ghost world;Ghost Rider;114.0
Action Thriller;http://www.jasonbournemovie.com;assassin amnesia flashback;Jason Bourne;123.0
Action Adventure Comedy;not find;robbery secret identity secret agent;Charlie's Angels: Full Throttle;106.0
Science Fiction Adventure Mystery;http://www.projectprometheus.com/;android dystopia alien spin off creation;Prometheus;124.0
Family Adventure Animation Comedy;not find;mouse falcon bird friendship family;Stuart Little 2;78.0
Science Fiction Action Drama Thriller;not find;dystopia space station class conflict;Elysium;109.0
Action Science Fiction;not find;prison dystopia matter of life and death outer space intergalactic travel;The Chronicles of Riddick;119.0
Action Science Fiction;http://www.robocop.com;cyborg future dystopia police remake;RoboCop;102.0
Action Family Science Fiction;http://www.speedracerthemovie.warnerbros.com/;car race loss of brother chimp family duringcreditsstinger;Speed Racer;135.0
Comedy Drama Romance;http://www.howdoyouknow-movie.com/;love triangle baseball athlete aftercreditsstinger;How Do You Know;121.0
Action Comedy;http://www.knightanddaymovie.com;spy airport gas station garage pilot;Knight and Day;109.0
Action Science Fiction Adventure Mystery;https://www.uphe.com/movies/oblivion;spacecraft dystopia space drone imax;Oblivion;124.0
Science Fiction Adventure Action;http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith;showdown death star vision cult figure hatred;Star Wars: Episode III - Revenge of the Sith;140.0
Adventure Action Science Fiction;http://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones;senate investigation army death star jedi;Star Wars: Episode II - Attack of the Clones;142.0
Animation Comedy Family;http://movies.disney.com/monsters-inc;monster infant energy supply company rivalry;Monsters, Inc.;92.0
Action Science Fiction Adventure Fantasy;http://www.thewolverinemovie.com;japan samurai mutant world war i marvel comic;The Wolverine;126.0
Adventure Action Science Fiction;http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace;prophecy senate queen taskmaster galaxy;Star Wars: Episode I - The Phantom Menace;136.0
Adventure Animation Comedy Family Fantasy;http://www.thecroodsmovie.com/;stone age daughter father prehistoric ancient world;The Croods;98.0
Drama Action History War;not find;japan world war ii radio transmission marine corps u.s. army;Windtalkers;134.0
Action Adventure Drama;http://www.thehuntsmanmovie.com/;witch magic fairy tale snow white huntsman;The Huntsman: Winter's War;114.0
Science Fiction Action Adventure Fantasy Comedy;http://www.teenagemutantninjaturtlesmovie.com;martial arts terrorist hero mutation van;Teenage Mutant Ninja Turtles;101.0
Science Fiction Thriller Drama;http://gravitymovie.warnerbros.com/;space mission loss space astronaut trapped in space;Gravity;91.0
Action Adventure Thriller;not find;helicopter small town mayor evacuation motel;Dante's Peak;108.0
Fantasy Action Adventure Comedy;http://www.teenagemutantninjaturtlesmovie.com/;brother brother relationship turtle sequel based on comic book ninja;Teenage Mutant Ninja Turtles: Out of the Shadows;112.0
Action Adventure Science Fiction;http://www.fantasticfourmovie.com/;teleportation transformation telekinesis portal marvel comic;Fantastic Four;100.0
Action Adventure Comedy Family Fantasy;not find;museum skeleton night shift chaos genghis khan;Night at the Museum;108.0
Action Drama Thriller;http://www.sanandreasmovie.com/;california earthquake catastrophe disaster film 3d;San Andreas;114.0
Adventure Action Thriller;http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/;london england england spy china news broadcast;Tomorrow Never Dies;119.0
Drama History War Action;not find;rebel southern usa loss of son martial arts general;The Patriot;165.0
Thriller Crime;http://oceans12.warnerbros.com/;sequel faberg\u00e9 egg dutch eastindian company second part;Ocean's Twelve;125.0
