name;overview;number_of_episodes;number_of_seasons;poster_path;genres
Tim and Eric Awesome Show, Great Job!;"Tim and Eric Awesome Show, Great Job! is an American sketch comedy television series, created by and starring Tim Heidecker and Eric Wareheim, which premiered February 11, 2007 on Cartoon Network's Adult Swim comedy block and ran until May 2010. The program features surrealistic and often satirical humor, public-access television–style musical acts, bizarre faux-commercials, and editing and special effects chosen to make the show appear camp.\n\nThe program featured a wide range of actors, spanning from stars such as Will Ferrell, John C. Reilly, David Cross, Bob Odenkirk, Will Forte and Zach Galifianakis, to alternative comedians like Neil Hamburger, to television actors like Alan Thicke, celebrity look-alikes and impressionists.\n\nThe creators of the show have described it as ""the nightmare version of television.""";50;5;/1dzPN5M6BbT44CTMaXqqkIdhOWK.jpg;Comedy 
Greek;Casey Cartwright is poised to become the most powerful girl in the Greek system. Rusty, her little brother, is new on campus and he's the geek. But he sees Cyprus-Rhodes University as an opportunity to create a whole new identity.;74;4;/xiECPWEyydPiB7XJtciAiS2spKN.jpg;Comedy Drama
Breaking Bad;When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.;62;5;/ggFHVNu6YYI5L9pCfOacjizRGt.jpg;Drama Crime
Gossip Girl;An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.;121;6;/hvDlmhoImfX5oUYS2gXxsMrpSTB.jpg;Drama Mystery
Game of Thrones;Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.;73;8;/7WUHnWGx5OO145IRxPDUkQSh4C7.jpg;Sci-Fi & Fantasy Drama Action & Adventure 
Marvel's Agents of S.H.I.E.L.D.;Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.;136;7;/gHUCCMy1vvj58tzE3dZqeC9SXus.jpg;Drama Sci-Fi & Fantasy Action & Adventure 
Hell on Wheels;The epic story of post-Civil War America, focusing on Cullen Bohannon, a Confederate soldier who sets out to exact revenge on the Union soldiers who killed his wife. His journey takes him west to Hell on Wheels, a dangerous, raucous, lawless melting pot of a town that travels with and services the construction of the first transcontinental railroad, an engineering feat unprecedented for its time.;57;5;/w24HTBQG6bYMlWUKSrv1uceVfXF.jpg;Action & Adventure Drama Western 
Sons of Anarchy;An adrenalized drama with darkly comedic undertones that explores a notorious outlaw motorcycle club’s (MC) desire to protect its livelihood while ensuring that their simple, sheltered town of Charming, California remains exactly that, charming. The MC must confront threats from drug dealers, corporate developers, and overzealous law officers. Behind the MC’s familial lifestyle and legally thriving automotive shop is a ruthless and illegal arms business driven by the seduction of money, power, and blood.;92;7;/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg;Crime Drama
Glee;In this musical comedy, optimistic high school teacher Will Schuester tries to refuel his own passion while reinventing the high school's glee club and challenging a group of outcasts to realize their star potential as they strive to outshine their singing competition while navigating the cruel halls of McKinley High.;121;6;/62T2vsZYTje3KhdCsiLR1K1RFJW.jpg;Comedy Drama
Modern Family;The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.;250;11;/fu5vEUHgxkAPmX26ISQXqHmlPMq.jpg;Comedy 
The Middle;The daily mishaps of a married woman and her semi-dysfunctional family and their attempts to survive life in general in the city of Orson, Indiana.;215;9;/7YwLY7Fg9BJU9qu9rrwaYbIc77c.jpg;Comedy 
The Walking Dead;Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.;177;11;/xf9wuDcqlUPWABZNeDKPbZUjWx0.jpg;Action & Adventure Drama Sci-Fi & Fantasy 
Homeland;CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.;96;8;/6GAvS2e6VIRsms9FpVt33PsCoEW.jpg;Drama War & Politics
Arrow;Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.;170;8;/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg;Crime Drama Mystery Action & Adventure
House of Cards;Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.;73;6;/hKWxWjFwnMvkWQawbhvC0Y7ygQ8.jpg;Drama 
The Good Wife;Alicia Florrick boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.;156;7;/lasNCd45fpPLirlA7QxkuopWro.jpg;Drama 
Justified;"A character drama based on the 2001 Elmore Leonard short story ""Fire in the Hole."" Leonard's tale centers around U.S. Marshal Raylan Givens of Kentucky, a quiet but strong-willed official of the law. The tale covers his high-stakes job, as well as his strained relationships with his ex-wife and father.";78;6;/aVYuGDlOZMCRt89fAnHTYgk3BMr.jpg;Crime Drama
Chuck;When Buy More computer geek Chuck Bartowski unwittingly downloads a database of government information and deadly fighting skills into his head, he becomes the CIA's most vital secret. This sets Chuck on a path to become a full-fledged spy.;91;5;/hdBp6Sya1w1DiKMKdJ6vdb0QOPS.jpg;Action & Adventure Comedy Drama 
Person of Interest;"John Reese, former CIA paramilitary operative, is presumed dead and teams up with reclusive billionaire Finch to prevent violent crimes in New York City by initiating their own type of justice. With the special training that Reese has had in Covert Operations and Finch's genius software inventing mind, the two are a perfect match for the job that they have to complete. With the help of surveillance equipment, they work ""outside the law"" and get the right criminal behind bars. ";103;5;/f8aIvYk5h7Z8EP3dinCmVgQFYow.jpg;Drama Action & Adventure Crime Sci-Fi & Fantasy
Elementary;A modern-day drama about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson.;154;7;/q9dObe29W4bDpgzUfOOH3ZnzDbR.jpg;Drama Mystery Crime 
New Girl;Jessica Day is an offbeat and adorable girl in her late 20s who, after a bad breakup, moves in with three single guys. Goofy, positive, vulnerable and honest to a fault, Jess has faith in people, even when she shouldn't. Although she's dorky and awkward, she's comfortable in her own skin. More prone to friendships with women, she's not used to hanging with the boys—especially at home.;146;7;/8oCqMlKKomCArVtyOjRzMN6g40Z.jpg;Comedy 
Orange Is the New Black;A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.;91;7;/ekaa7YjGPTkFLcPhwWXTnARuCEU.jpg;Comedy Drama
Boardwalk Empire;"Atlantic City at the dawn of Prohibition is a place where the rules don't apply. And the man who runs things -- legally and otherwise -- is the town's treasurer, Enoch ""Nucky"" Thompson, who is equal parts politician and gangster.";56;5;/kL6SqlVPpfAof2nQbh1VxkUuXBQ.jpg;Crime Drama
Go, Diego, Go!;Go, Diego, Go! is a children's television series created by Chris Gifferd and Valerie Walsh, and is a spin-off of Dora the Explorer. The show premiered on September 6, 2005 and ended on September 16, 2011 on Nickelodeon. It also aired as part of the Nick Jr. on CBS block from September 17, 2005 to September 9, 2006. On December 20, 2006, Nick Jr. announced that it had ordered twenty new episodes that were in production. Since April 2008, the show has been dubbed into Spanish and airs in the United States on Univision as part of their Planeta U block.;80;5;/xn3U14CzlMJZdYRqIj36afpjsQl.jpg;Animation 
Fringe;FBI Special Agent Olivia Dunham, brilliant but formerly institutionalized scientist Walter Bishop and his scheming, reluctant son Peter uncover a deadly mystery involving a series of unbelievable events and realize they may be a part of a larger, more disturbing pattern that blurs the line between science fiction and technology.;100;5;/sY9hg5dLJ93RJOyKEiu1nAtBRND.jpg;Sci-Fi & Fantasy Drama Mystery 
Johnny and the Sprites;"The show follows main character Johnny (a songwriter), as he moves into a house given to him by his great-uncle. There, he discovers little magical creatures simply known as ""sprites"", who introduce him to their fantasy world. In return, Johnny shows the sprites what it's like to be human, often teaching them (and the viewer) an important life lesson.";65;3;/gmNHQ3TIDyIxQ8zIkrXunY1rme7.jpg;Kids 
The Bill Engvall Show;The Bill Engvall Show is a sitcom which ran on TBS from July 17, 2007 to September 5, 2009. The series starred comedian Bill Engvall and was written and created by Engvall and Michael Leeson. The series was canceled on September 25, 2009.\n\nOn June 9, 2008, the show had a one shot airing on CBS.;30;3;/eTnnavruLGvse4CEs5EY69BsHTv.jpg;Comedy 
The Universe;From the planets to the stars and out to the edge of the unknown, history and science collide in a wondrous yet deadly adventure through space and time.;88;9;/o3LhwEcm9M7B1Sq96mzCyXOtn2g.jpg;Documentary 
General Hospital: Night Shift;"General Hospital: Night Shift is an American prime time serial that first aired on Soapnet for a 13-episode run from July 12, 2007 to October 4, 2007. A spin-off of the ABC Daytime soap opera General Hospital, the show is SOAPnet's first original scripted drama series and follows the nighttime adventures of familiar and new characters around the hospital. As of March 2008, the first season of the series was ""SOAPnet's most watched series ever,"" with ABC Daytime and SOAPnet President Brian Frons noting that Night Shift drew more than 1 million new viewers to the channel during its first season. With its reruns gaining higher ratings than those of General Hospital on SOAPnet, a second season was expected, though Frons noted that the same crew producing two shows had taken its toll.\n\nIt was announced in May 2008 that Lisa de Cazotte would serve as Executive producer for season two, joined by Head writer Sri Rao. The 14 new episodes of Night Shift began taping in high-definition in June 2008, with the series airing Tuesdays at 11 p.m. and premiering on July 22, 2008. SOAPnet said the second season ""will feature new and returning characters as well as the return of 'legacy' characters from GH. In addition, the continuity between story lines on Night Shift and GH will match."" The second season finished its run on October 21, 2008.";24;2;/zUNX35LkftY9bUZmnM5zjuJyvzk.jpg;Drama 
Samantha Who?;Samantha Newly has been a bad, bad girl. But thanks to an 8-day coma, she can't remember a thing. Fortunately her best friend Andrea is by her side with a cocktail and the 4-1-1 on every dirty deed. But the more Sam pieces together her past, the less she likes her old self. Maybe this is a chance to start over and do it all again.;35;2;/wAvkXvn5u55osbHYqAv7Y1kEDfO.jpg;Comedy 
Flight of the Conchords;"The trials and tribulations of a two man, digi-folk band who have moved from New Zealand to New York in the hope of forging a successful music career. So far they've managed to find a manager (whose ""other"" job is at the New Zealand Consulate), one fan (a married obsessive) and one friend (who owns the local pawn shop) -- but not much else.";22;2;/ynboK8qiOTz0X44r59LpfF8jBP5.jpg;Comedy 
Big Shots;Four friends are at the top of their game...until the women in their lives enter the room. Lines between boardroom and bedroom blur when these competitive but dysfunctional CEOs take refuge in their friendship, discussing business, confiding secrets, seeking advice and supporting each other through life's surprising twists and turns.;11;1;/ztJVBy8C5afXpSh6sdzxIcnHuix.jpg;Drama 
Burn Notice;A formerly blacklisted spy uses his unique skills and training to help people in desperate situations.;111;7;/o2fnD3SNiQjGVgA2C3ezaeh2HK.jpg;Action & Adventure Drama
The Riches;A family of crooks assume the identity of an upper-middle-class suburban clan in the Deep South.;20;2;/c8eyL7xBTVZeeqb9oDEADqHlNc2.jpg;Drama Comedy
The Tudors;The Tudors is a history-based drama series following the young, vibrant King Henry VIII, a competitive and lustful monarch who navigates the intrigues of the English court and the human heart with equal vigor and justifiable suspicion.;38;4;/tGdf0NIGXrEnFQezRxh9UoT1Baa.jpg;Drama Romance
Veep;A look into American politics, revolving around former Senator Selina Meyer who finds being Vice President of the United States is nothing like she expected and everything everyone ever warned her about.;65;7;/rsP68RZwUkhdi47hE8AEPLQNVfQ.jpg;Comedy 
Bam's Unholy Union;Bam's Unholy Union is an American reality series that aired on MTV and MTV Canada. It follows Bam Margera and his fiancee Missy Rothstein as they plan their wedding. In addition to Margera and Rothstein, the show features several members of the CKY Crew.;9;1;/EdlfL92OV6i2H6Q09CiBbrwhiP.jpg;Reality Comedy
Superjail!;An eccentric warden and his staff run a bizarre maximum security prison full of dangerous prisoners.;36;4;/kNw5w1YfQDgT8cJoqW38q8BVZUY.jpg;Action & Adventure Animation Comedy 
Cavemen;Joel, his cynical best friend, Nick, and easy-going little brother, Jamie, are contemporary cavemen who live in the suburban south and simply want to be treated like ordinary thirty-something guys. Despite their attempts at assimilation, Nick doesn't believe mainstream society will ever completely accept them, Jamie seems to take it all in stride and Joel straddles the middle, torn between his friends, his more traditional values and his loving fiancée.;13;1;/uzapDOiR6cKbN2Dvs4VKSiGJ85t.jpg;Comedy Sci-Fi & Fantasy
The Winner;"The Winner is an American television series that premiered on Fox on March 4, 2007. It is a comedy about a successful man named Glen Abbott looking back to the time when he was in his thirties and living with his parents in 1994 Buffalo, New York.\n\nOther cast members include Erinn Hayes as Alison, Keir Gilchrist as Alison's son, Josh, Lenny Clarke as Glen's father, Ron, and Linda Hart as Glen's mother, Irene. The show is produced by Ricky Blitt and Seth MacFarlane, who are also producers of Family Guy.\n\nThe working title of this series was Becoming Glen. A pilot was made for Fox in 2002 starring Johnny Galecki as Glen. It also starred Samantha Mathis, Gerald McRaney and Sally Struthers. The pilot was not picked up. However, the resurgence of Family Guy and the success of The 40-Year-Old Virgin in 2005 helped Blitt get a chance at making another pilot.\n\nAt Family Guy Live in Montreal on July 21, 2007, Seth MacFarlane said ""It is looking like there could be a future life for The Winner"". However, the series was officially cancelled on May 16, 2007.";6;1;/k2wMlqzSqKMVAAF2UfCFUb8CFmu.jpg;Comedy 
Journeyman;This mystery-drama revolves around a newspaper reporter named Dan Vasser who suddenly begins to travel through time to change the lives of those around him. When his travels reunite him with his long-lost fiancée Livia, life with his present-day wife gets very interesting.;13;1;/vCIvpqJlzxV5BV6kcR3fNd1Sesm.jpg;Drama Sci-Fi & Fantasy
Canterbury's Law;Elizabeth Canterbury is a force of nature. An attorney on the rise, she puts her career on the line to take on risky and unpopular cases, even when they take a toll on her personal life. Elizabeth and her law professor husband, Matt Furey, haunted by the unsolved disappearance of their young son, struggle to distance themselves from the tragedy and put their relationship back together. But those goals become elusive whenever Elizabeth's work provides a stark reminder of the justice absent in their own lives.;6;1;/fjsdiBM5vN5rIz9e2Boro6ijrsH.jpg;Drama 
Private Practice;Having left behind Seattle Grace Hospital, renowned surgeon Addison Forbes Montgomery moves to Los Angeles for sunnier weather and happier possibilities. She reunites with her friends from medical school, joining them at their chic, co-op, Oceanside Wellness Center in Santa Monica.;111;6;/pW20ANAGdrgreYJExduUVaWos6H.jpg;Drama 
Women's Murder Club;Women's Murder Club was an American police procedural and legal drama, which ran on ABC from October 12, 2007, to May 13, 2008. The series is set in San Francisco, California and is based on the 'Women's Murder Club' series of novels written by James Patterson. Series creators Elizabeth Craft and Sarah Fain also served as executive producers alongside Patterson, Joe Simpson, Brett Ratner, and R. Scott Gemmill. The latter also served as showrunner, with Gretchen J. Berg and Aaron Harberts co-executive producing. The pilot was directed by Scott Winant.;13;1;/60wKdEKCzp244Han7HLQF8il0Yb.jpg;Crime Drama
K-Ville;K-Ville is an American television drama created and executive produced by Jonathan Lisco, centering on policing New Orleans after Hurricane Katrina. Deran Sarafian directed the pilot.\n\nOn May 15, 2008, the series was officially canceled.;11;1;/3jflQr3CfvHhaOdL9FwCqp2yGwK.jpg;Drama 
Wizards of Waverly Place;Alex, Justin and Max Russo are not your ordinary kids - they're wizards in training! While their parents run the Waverly Sub Station, the siblings struggle to balance their ordinary lives while learning to master their extraordinary powers.;106;4;/spVI8Zns4Ep30zzxcoO7f7nwfck.jpg;Comedy Sci-Fi & Fantasy Kids 
On the Lot;On the Lot is a short-lived reality show competition for filmmaking, produced by Steven Spielberg and Mark Burnett. The show, which aired on Fox, featured filmmakers competing in weekly elimination competitions, with the ultimate prize of a million-dollar development deal at DreamWorks.;16;1;/y99lP5qIFCP93QCwhx8BNtAYQcz.jpg;Reality 
Lil' Bush;Lil' Bush cracks satirical jokes at the Bush administration. The show depicts the administration members as pint-size cartoon characters. The title character is accompanied by Lil' Cheney and Lil' Condi.;16;2;/5l3ogo8OP1ivE7DOtBfbie3dtdJ.jpg;Animation Comedy
My Friends Tigger & Pooh;Pooh, Tigger, and friends from the Hundred Acre Wood welcome new neighbors — an adorable six-year-old girl named Darby and her puppy, Buster. With the help of adventurous super sleuths Tigger and Pooh, every episode revolves around the solving of a mystery and an interactive curriculum that encourages viewers to help them out.;130;2;/pjFdWwr36A5ZO8K5W5NuPRS7Bil.jpg;Kids Animation Drama Mystery Action & Adventure 
Aliens in America;Justin Tolchuk is a sensitive, lanky 16-year-old just trying to make it through the social nightmare of high school in Medora, Wisconsin. When his well-meaning mom Franny signs up for the school's international exchange student program, she pictures an athletic, brilliant Nordic teen who will bestow instant coolness on her outsider son. However, when the Tolchuk's exchange student arrives, he turns out to be Raja Musharaff, a 16-year-old Pakistani Muslim. It's going to be a very interesting year for Raja, Justin, his family and the entire population of Medora.;18;1;/wqfCYDdTg4FMdpokvnW3rr8J0cO.jpg;Comedy Family
Ice Road Truckers;Take a trip to Yellowknife, Canada to experience one of the most dangerous careers around. In unfathomably cold conditions, truck drivers haul equipment and supplies to miners in the Canadian tundra in the dead of winter on a 350-mile highway of ice.;138;11;/ygFkmE24eUb12zWQNiWb9efjBj9.jpg;Reality 
Life on Mars;After a car crash, police detective Sam Tyler mysteriously finds himself transported back to 1973 and still working as a detective.;17;1;/opP6O99cWRZ9tfdPaLsWefbcPRs.jpg;Mystery Drama Sci-Fi & Fantasy 
Life;Complex, offbeat Detective Charlie Crews returns to the force after serving time in prison for a crime he didn’t commit. Crews’ new lease on life has provided him with a Zen-like outlook, peace of mind and no need for vengeance, an attitude which can be challenging to maintain when someone he cares about is threatened — or when he is investigating the mystery surrounding the murder he was falsely accused of.;32;2;/4zTDeRJxdMqH3Si2fIZjQi44k17.jpg;Drama 
Giada in Paradise;Giada De Laurentiis travels the globe to visit exotic and luxurious locales, from the South Pacific to the Mediterranean coast. In each dazzling destination, Giada gets up close and personal to experience the local food, culture and breathtaking scenery.;6;1;/qGCWMp5viSMkiFKW7PzXOdSNM9H.jpg;Reality 
Masters of Science Fiction;Masters of Science Fiction is an American television anthology series with each hour long episode taking the form of a separate short film adaptation of a story by a respected member of the science fiction community.\n\nThe show is hosted by physicist Stephen Hawking.;6;1;/jfImSgyg58tcCckUSuRuPif9GHA.jpg;Drama Sci-Fi & Fantasy
Carpoolers;"Four guys who carpool to work every day come to savor their commute as the only safe time to commiserate about jobs, families - and secrets. Even though ""what happens in the carpool stays in the carpool,"" they'll go beyond the boundaries of this fast-moving commuter confessional to get involved in each other's lives and develop friendships.";13;1;/88d2X24GGV9jgGg6EqqCOhrKz7T.jpg;Comedy 
Dirty Sexy Money;The Darling family's obscene wealth and enormous power makes them easy  targets for their rivals, enemies, and the tabloids. Patriarch Tripp  uses his money and influence to shield his five adult children from the  prying eyes of the world. As the Darlings' reluctant personal lawyer,  Nick George has barely begun to discover the legal - and illegal - needs  of the family. Blackmail threats. Questionable deals. Illegitimate  children. Illicit affairs. It will take every trick he can think of to  keep them out of the tabloids - and out of jail. But if he can solve his  father's mysterious death, it might be worth the hassle. Enter a  seductive world of glamorous people, exclusive parties and delicious  intrigue.;23;2;/qZHn3otXV4y7AELII800Gpv3TbW.jpg;Comedy Drama
Star Trek: Odyssey;"Star Trek: Odyssey is a Star Trek fan production from Areakt Productions, the creators of Star Trek: Hidden Frontier. Set after the end of Hidden Frontier, Odyssey follows the USS Odyssey as it struggles to get home from a dangerous mission that has taken it and her crew 2.5 million light years from home... to the unknowns of the Andromeda Galaxy. This is the first Star Trek series, fan produced or otherwise, to take place outside of our own Earth's galaxy.\n\nThe pilot for Odyssey, entitled Iliad, was put to wide release on Saturday, September 22, 2007 and is now freely available on the official website.\n\nAccording to the creator of Hidden Frontier and Odyssey, Rob Caves, Odyssey will be primarily centered around Lt. Cmdr. Ro Nevin in a loose retelling of Homer's classic story of The Odyssey, set in the 24th century universe of Star Trek.\n\nRo was involved in numerous episodes of the Star Trek: Hidden Frontier series, and was in the first gay plotlines during the second season of Hidden Frontier. Caves has said that although Ro is an openly gay/bisexual character, the new series ""will focus instead on new aspects of his evolving persona that have not been explored yet in Hidden Frontier"".";9;3;/bX2tZrhEt8noxDQVw2hOXaRAgsN.jpg;Sci-Fi & Fantasy 
Halfway Home;"Halfway Home is an American comedy series that aired on Comedy Central in Spring 2007.\n\nOn its official website, Halfway Home is described as an ""improvised half-hour show featuring the daily exploits of five ex-cons living together in a residential rehab facility"".\n\nAfter airing 10 episodes, on June 20, 2007 costar Regan Burns confirmed that the show had ended.";10;1;/z3SVpRY9LNwCcCyX6algWn1hqRf.jpg;Comedy 
Rick & Steve: The Happiest Gay Couple in All the World;"Rick & Steve: The Happiest Gay Couple in All the World is an American-Canadian stop motion animated sitcom created by Q. Allan Brocka, who also acts as director. It is a spin off from Brocka's 1999 short film of the same name, and debuted on the LGBT focused Logo network in July 2007 and on the Canadian Teletoon's late-night programming block ""The Detour"" that October. The show premiered in the UK on E4 on 17 September 2008 and in January 2010 on Virgin 17 in France.\n\nAfter the first season aired, Logo renewed the program for a second season, which debuted on November 11, 2008.\n\nThe animation of the original Rick & Steve shorts were done using Lego blocks and figures, prompting a lawsuit from the company. Though the series no longer uses Lego blocks, it still draws comparison to both them and those by Playmobil.\n\nIt is produced by Toronto-based production studio, Cuppa Coffee Studio. Currently, there are no further plans for a third season of Rick & Steve.";14;2;/fAQOCA22rsZiHzkAVm2hnmVfhc7.jpg;Animation Comedy
Star Wars: The Clone Wars;Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.;133;7;/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg;Action & Adventure Animation Sci-Fi & Fantasy 
Raines;Raines is a crime drama television series that ran from March 15, 2007 to April 27, 2007 on NBC in the United States. The show premiered as a mid-season replacement, as well as airing on CH in Canada, TV3 in Ireland, ITV3 in the UK, and on Network Ten in Australia.\n\nThe series focused on Michael Raines, a 'mentally haunted' LAPD detective, who interacts with imaginary manifestations of dead crime victims in order to solve criminal cases. Raines must deal with his unique, unintentional method, as it causes problems with his co-workers and in his personal life.\n\nThe first two episodes aired on Thursday nights at 10:00 PM Eastern Time during the time slot normally occupied by ER. The third episode aired eight days later, taking up its regular Friday at 9:00 PM time slot.\n\nOn May 14, 2007, NBC announced its schedule for the 2007-2008 television season. Raines was left off this list, and was officially cancelled.;7;1;/qBl0okmhCzSZT89YfYsvBYyKrzu.jpg;Crime Drama
Andy Barker, P.I.;Certified public accountant Andy Barker reluctantly becomes a private investigator after he is mistaken for the former office tenant, who was a private eye.;6;1;/uJD9UMko7SPZWwzxm1M0vQw1yYH.jpg;Mystery Comedy
The Replacements;Two orphans, Riley and little brother Todd, answer an ad for Fleemco Replacement People and order new parents, a spy mother and daredevil father. As Riley and Todd go on adventures (or misadventures as it were), they team up with Conrad Fleem to replace any adult in their lives that they don't like, but they don't get to choose the replacements and sometimes their good intentions don't work out as they planned;75;2;/iAv1Vy94PsGIXv6YOZJQYy0TMpm.jpg;Animation 
Destination Truth;Destination Truth is a weekly American paranormal reality television series that premiered on June 6, 2007, on Syfy. Produced by Mandt Bros. Productions and Ping Pong Productions, the program follows paranormal researcher Josh Gates around the world to investigate claims of the supernatural, mainly in the field of cryptozoology.;55;5;/roAGPVGDT724EKpc129DbdIacQo.jpg;Documentary Sci-Fi & Fantasy
